	SRR1914886	SRR1914888	SRR1914890	SRR1914885	SRR1914887	SRR1914889
ENSMUSG00000000538.18	42183	31572	43853	42654	39094	40089
ENSMUSG00000000544.14	6	8	6	15	9	6
ENSMUSG00000000552.10	11208	8970	12196	11236	10242	10735
ENSMUSG00000000555.8	256	208	296	259	157	187
ENSMUSG00000000560.9	20161	13618	17746	14641	16020	13591
ENSMUSG00000000561.14	9850	7370	9463	8929	8646	7978
ENSMUSG00000000562.5	177	180	221	201	170	164
ENSMUSG00000000563.17	29140	19060	26368	25675	27373	23943
ENSMUSG00000000567.5	3381	2264	3085	3352	3085	2906
ENSMUSG00000000568.15	24021	16963	22396	22901	21735	20515
ENSMUSG00000000579.14	2472	1862	2532	2398	2032	2075
ENSMUSG00000000581.8	6600	4109	5458	4897	5462	4678
ENSMUSG00000000594.7	9200	6480	8783	8110	8419	7660
ENSMUSG00000000600.15	11242	8235	11658	10690	9765	9330
ENSMUSG00000000605.9	22292	16571	23176	21936	20840	19914
ENSMUSG00000000606.18	131	101	128	93	126	140
ENSMUSG00000000617.14	37	28	39	39	30	27
ENSMUSG00000000627.15	7929	6388	7881	6738	6131	6347
ENSMUSG00000000628.10	568	439	531	552	504	457
ENSMUSG00000000631.20	24242	19269	25871	24695	22099	23194
ENSMUSG00000000632.13	17176	14296	17870	15761	13518	13431
ENSMUSG00000000673.9	98	82	76	86	82	68
ENSMUSG00000000682.7	75	47	64	64	71	42
ENSMUSG00000000686.11	286	177	283	181	202	190
ENSMUSG00000000690.5	5	1	2	0	2	2
ENSMUSG00000000693.10	663	488	643	670	595	569
ENSMUSG00000000701.8	0	0	0	0	0	0
ENSMUSG00000000706.16	59	45	48	22	13	20
ENSMUSG00000000708.14	4431	3043	4492	4688	4493	4378
ENSMUSG00000000711.3	26117	17864	23969	21777	22342	20359
ENSMUSG00000000724.10	27	16	38	28	24	22
ENSMUSG00000000730.13	16	17	16	6	10	4
ENSMUSG00000000731.15	54	40	70	34	24	37
ENSMUSG00000000732.9	867	655	892	834	848	745
ENSMUSG00000000738.18	7816	5743	7623	8117	7052	7296
ENSMUSG00000000739.14	279	175	283	226	188	256
ENSMUSG00000000740.12	29794	19479	24097	21918	24464	20635
ENSMUSG00000000743.9	11999	8564	10966	10598	10906	9603
ENSMUSG00000000751.13	7652	5557	7318	7773	7806	7272
ENSMUSG00000000753.15	1493	1286	1672	1041	960	1074
ENSMUSG00000000759.14	9611	7636	9864	10350	9420	9169
ENSMUSG00000000766.18	2063	1352	1964	1386	1366	1345
ENSMUSG00000000776.13	3258	2326	3080	3094	3139	2831
ENSMUSG00000000782.15	460	322	531	468	382	473
ENSMUSG00000000787.12	43454	28779	39501	40589	43079	37734
ENSMUSG00000000791.9	101	81	139	111	127	149
ENSMUSG00000000792.2	860	573	772	357	380	346
ENSMUSG00000000794.9	10447	7351	10392	8962	7940	7725
ENSMUSG00000000804.14	26827	18657	25210	23601	24143	21781
ENSMUSG00000000805.18	1479	1451	2120	1446	1092	1276
ENSMUSG00000000811.13	1468	1105	1333	1296	1222	1330
ENSMUSG00000000817.10	50	48	69	44	47	49
