SRR1930037	SRR1930038	SRR1930039	SRR1930034	SRR1930035	SRR1930036
ENSMUSG00000000290.13	86.9973979067486	80.9553870048919	48.6338276748869	66.7950273169734	56	61
ENSMUSG00000000295.13	134	105	107	94	87	105
ENSMUSG00000000296.8	234	167	193	160	147	135
ENSMUSG00000000301.16	23.2915133182565	21.0649647202703	20.0523385705563	18.3396097738295	13	14.0083313067191
ENSMUSG00000000303.12	76.5415143369513	58.4271167681479	79.2452912689891	70.0553991213105	43.3074437588353	63.2058395254417
ENSMUSG00000000305.12	297.497963267493	265.497303451799	244.097709580135	325.155574569792	361.562554931349	355.915817361192
ENSMUSG00000000308.14	4770.99846076378	3810	3657.99330968781	3578	3087	3456
ENSMUSG00000000317.11	31	25	35	25	19	31
ENSMUSG00000000318.16	8.70335819032193	4.63952026199464	5.01391984555936	7.1380712959762	1.22117259570137	3.53901529141868
ENSMUSG00000000320.10	35.7706463584231	38.6925781974132	42.0957482391781	33.4179514667047	37.0162748316519	35.7313618507633
ENSMUSG00000000325.16	612.762081261326	696.847651237881	593.623616263323	550.417769457966	677.117188823997	794.298177213695
ENSMUSG00000000326.13	745.094148578686	642.977141519807	671.442372673942	651.495853047333	667.61083651064	638.899201695594
ENSMUSG00000000339.14	618	481	492	528	528	550
ENSMUSG00000000340.10	405.324094568788	364.536511943423	318.839691421593	308.988318108742	364.72752727109	339.299011249577
ENSMUSG00000000346.9	1826	1417	1294	1435	1418	1446
ENSMUSG00000000355.13	336	277	312	288	301	319
ENSMUSG00000000359.3	4	6	5	6	5	3
ENSMUSG00000000365.9	29	27	21	22	18	12
ENSMUSG00000000374.8	3251	2603	2698	2662	2379	2679
ENSMUSG00000000378.15	566	471	423	496	516	478
ENSMUSG00000000381.10	0	0	1	1	2	1
ENSMUSG00000000384.15	284.975196898046	249.960053575175	262.452744303684	223.561798787366	247.63443713994	247.930890551132
ENSMUSG00000000385.8	2	2	4	2	1	0
ENSMUSG00000000386.15	32	47	49.0840817812483	37.5553057821415	41.4957138443665	38.4089970670084
ENSMUSG00000000392.17	98.9090874842296	87.0287751145655	91.2137782087655	69.3999954685356	68.8003773697272	80.3414148534588
ENSMUSG00000000394.15	0	0	1	0	0	0
ENSMUSG00000000399.10	1132.16604945087	815.398669990535	807.04814301204	854.153615207767	810.096743256327	905.170825812514
ENSMUSG00000000402.2	46.9687105757018	56.0654497787851	51.9611241306263	32.3768120998519	44.8707957248263	39.7713804607817
ENSMUSG00000000409.14	18	15	22	11	18	13
ENSMUSG00000000411.7	7	6	1	11	8	3
ENSMUSG00000000416.16	3220	2774	3133	2410	2887	2659
ENSMUSG00000000420.15	1363.32338795028	1087.40660701922	1124.88207888051	1077.76761602972	1129.77987234925	1099.72654067538
ENSMUSG00000000435.1	1	0	0	2	1	0
ENSMUSG00000000439.9	1286.74704971186	1061.23789602882	1083.36837183044	1026.94906470714	1012.90510023941	1071.82545965793
ENSMUSG00000000440.12	204	175	187	139	164	186
ENSMUSG00000000441.17	1376.99968805778	1073.19096681771	1141.38745340895	1173.3021427851	1080.58733634257	1205.65584944537
ENSMUSG00000000486.13	19	12	15	16	17	19
ENSMUSG00000000489.7	459	513	522	461	443	483
ENSMUSG00000000530.16	137	130	134	105	111	115
ENSMUSG00000000531.5	980.595609881875	909.566158041995	849.330045263726	1072.27571030812	774.318147092055	871.354671382349
ENSMUSG00000000532.11	3213.94880708226	2779.55284807331	2732.27444344386	2459.41893749598	2610.72014187163	2647.76079851278
ENSMUSG00000000538.18	5635	4808	4862	4852	4501	4895
ENSMUSG00000000544.14	0	0	0	0	0	0
ENSMUSG00000000552.10	333	302	321	302	283	304
ENSMUSG00000000555.8	75	75	67	61	41	35
ENSMUSG00000000560.9	2237.91985883187	2071.13505586192	1929.89965543472	1698.72153941948	2138.28110601943	1828.18455397383
ENSMUSG00000000561.14	679.072631450223	510.108383817984	501.201622308296	510.8516619853	578.582642289651	558.783089167523
ENSMUSG00000000562.5	26.6227371589974	34.7753020519582	34.3092084620015	23.5528006594999	33.6857693085838	27.3656622288654
ENSMUSG00000000563.17	4980.52121517106	3953.06864328952	3552.9821734829	3884.903322748	3383.50176945235	3862.98234896925
ENSMUSG00000000567.5	232.159392467536	180.658568816342	201.780912079601	208	268.094566783089	198.128327524271
ENSMUSG00000000568.15	1410.65219279377	1439.5907045048	1590.16294342216	1213.05789594318	2027.40992250656	1481.85392342602
ENSMUSG00000000579.14	62.9371116244948	53.1226491662759	90.3784527498615	59.897329235226	58.0930405795858	94.7741758137853
ENSMUSG00000000581.8	600	433	446	362	398	404
ENSMUSG00000000594.7	1027	1024	857	792	914	969
ENSMUSG00000000600.15	2953.58423701199	2820.49430271511	3151.94208302771	2378.74598655359	2796.66901894944	2588.28283715092
ENSMUSG00000000605.9	4501.18391347697	3762.61701556495	4017.74560156108	3649.76592899566	3900.99130671252	3844.60922667736
